Date,Open,High,Low,Close,Adj Close,Volume,Type of industry
03-01-2000,16.6,17,16.6,17,14.458513,332590,Banking
04-01-2000,18.200001,18.344999,17.1,17.379999,14.781702,1687100,
05-01-2000,17,17.389999,16.5,16.695,14.19911,1598200,
06-01-2000,16.799999,17,16.530001,16.83,14.313926,850260,
07-01-2000,16.215,17.1,16.215,16.834999,14.31818,851440,
10-01-2000,17.290001,17.950001,16.5,16.59,14.10981,1004340,
11-01-2000,16.65,16.790001,15.7,16.34,13.897182,1457840,
12-01-2000,16.375,16.795,16.23,16.545,14.071535,859520,
13-01-2000,16.99,16.99,16.5,16.51,14.041768,482760,
14-01-2000,16.799999,16.799999,16.4,16.545,14.071535,581520,
17-01-2000,17.4,17.870001,17.205,17.870001,15.198452,1374040,
18-01-2000,17.870001,17.870001,16.455,16.57,14.092798,2556520,
19-01-2000,17.200001,17.9,17.200001,17.9,15.223966,3498180,
20-01-2000,18.48,18.48,17.6,17.860001,15.189946,2690980,
21-01-2000,17.6,19.200001,17.209999,18.815001,16.002171,4723290,
24-01-2000,19.879999,20.32,19.299999,20.055,17.056795,4493660,
25-01-2000,19.9,21.66,19.9,21.66,18.421848,2902910,
26-01-2000,21.66,21.66,21.66,21.66,18.421848,0,
27-01-2000,22.4,23.395,22.125,22.969999,19.536003,5635820,
28-01-2000,23,23.299999,22.4,22.790001,19.38291,4791650,
31-01-2000,23.01,24.615,23.01,23.775,20.220659,6373800,
01-02-2000,23.6,24.4,23.5,24.094999,20.492815,3907790,
02-02-2000,26.02,26.025,23.9,24.4,20.75222,3438320,
03-02-2000,24.4,25,22.450001,22.594999,19.217068,2846870,
04-02-2000,22.995001,23.200001,21.75,22.895,19.472214,2657040,
07-02-2000,23.5,24.73,23,24.67,20.981857,3890350,
08-02-2000,25,25.379999,24.01,25.075001,21.326307,3052080,
09-02-2000,25.5,26.1,24.610001,25.25,21.475143,3172330,
10-02-2000,25,26.200001,24.825001,25.174999,21.41136,2100860,
11-02-2000,25.51,25.9,23.165001,23.209999,19.740126,2648230,
14-02-2000,23.5,23.5,22.014999,23.344999,19.85494,2525440,
15-02-2000,23.4,23.5,22.51,22.76,19.357397,1940870,
16-02-2000,24.49,24.584999,23,24.584999,20.909565,706000,
17-02-2000,25.77,25.77,24.815001,25.040001,21.296539,2341600,
18-02-2000,25.1,25.299999,23.9,24.26,20.63315,1187770,
21-02-2000,24.325001,24.799999,23.51,23.615,20.084578,1104720,
22-02-2000,23.605,24,21.73,21.754999,18.502645,1748060,
23-02-2000,22.6,23.49,21.75,21.945,18.66424,1345080,
24-02-2000,22.200001,23,21.549999,22.700001,19.306374,878920,
25-02-2000,22.995001,23.4,22.200001,22.700001,19.306374,1265320,
28-02-2000,22.985001,23,22,22.754999,19.353148,857210,
29-02-2000,22.799999,23.9,20.950001,21.68,18.438862,2586880,
01-03-2000,21.799999,23.415001,21.799999,23.415001,19.914476,320940,
02-03-2000,25,25.290001,25,25.290001,21.509171,399360,
03-03-2000,27.315001,27.315001,27.315001,27.315001,23.23143,642940,
06-03-2000,29.495001,29.5,25.5,26.605,22.627573,2036410,
07-03-2000,26.5,26.790001,25.5,25.82,21.95993,1624120,
08-03-2000,26.5,27.889999,26.200001,27.205,23.137875,2004770,
09-03-2000,27.014999,28,25.1,26.959999,22.929499,1339790,
10-03-2000,26.125,26.299999,24.805,25.415001,21.615479,1468330,
13-03-2000,25,27.450001,25,26.995001,22.959267,2079820,
14-03-2000,27.549999,28,25.6,26.540001,22.572294,1782020,
15-03-2000,27,27,24.700001,25.985001,22.10026,827860,
16-03-2000,26.200001,26.200001,25.504999,25.695,21.853624,1324640,
17-03-2000,25.695,25.695,25.695,25.695,21.853624,0,
20-03-2000,25.695,25.695,25.695,25.695,21.853624,0,
21-03-2000,26,26,24.67,25.58,21.755812,1601110,
22-03-2000,25.975,26.5,25.405001,26.115,22.210831,761300,
23-03-2000,25.825001,28.205,25.825001,28.040001,23.848043,2538440,
24-03-2000,27.51,27.775,26.450001,27.34,23.252693,1171540,
27-03-2000,27.5,27.799999,26.625,27.17,23.108105,611310,
28-03-2000,26.85,27.85,26.805,27.51,23.397278,983640,
