Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.125000,48.250000,45.500000,46.750000,25.261276,20275200
2000-01-04,44.250000,45.140625,43.187500,43.250000,23.370056,19410000
2000-01-05,42.046875,43.625000,40.187500,42.500000,22.964792,25034000
2000-01-06,42.000000,42.750000,38.250000,38.250000,20.668312,19321600
2000-01-07,40.437500,43.000000,40.437500,42.750000,23.099882,18058800
2000-01-10,44.625000,45.062500,43.562500,44.734375,24.172138,15488400
2000-01-11,43.468750,43.968750,41.968750,42.500000,22.964792,11361200
2000-01-12,43.000000,43.812500,42.312500,42.656250,23.049223,10398000
2000-01-13,44.468750,44.750000,43.515625,44.500000,24.045492,9789200
2000-01-14,45.343750,46.218750,45.250000,46.000000,24.856010,10158400
2000-01-18,45.000000,45.312500,44.437500,44.718750,24.163691,11217600
2000-01-19,43.828125,45.125000,43.828125,45.000000,24.315664,8918400
2000-01-20,45.234375,45.281250,44.093750,44.937500,24.281897,7726800
2000-01-21,44.968750,46.671875,44.390625,46.250000,24.991100,13140400
2000-01-24,46.437500,46.734375,44.281250,45.000000,24.315664,14712000
2000-01-25,45.015625,45.984375,44.750000,45.750000,24.720930,9765200
2000-01-26,45.500000,46.359375,45.375000,45.750000,24.720930,9683600
2000-01-27,44.750000,45.625000,43.500000,44.625000,24.113033,12648000
2000-01-28,46.625000,47.250000,43.765625,45.031250,24.332554,17278000
2000-01-31,45.453125,46.625000,44.281250,46.250000,24.991100,13581600
2000-02-01,45.875000,47.750000,44.375000,46.125000,24.923555,33697600
2000-02-02,46.218750,46.687500,45.562500,46.500000,25.126186,17514800
2000-02-03,46.500000,48.500000,46.250000,48.500000,26.206881,19432800
2000-02-04,47.906250,48.875000,47.500000,48.000000,25.936707,12446400
2000-02-07,48.421875,48.609375,47.875000,48.156250,26.021143,9087200
2000-02-08,49.250000,51.500000,49.125000,51.500000,27.827929,17232400
2000-02-09,51.359375,52.187500,50.343750,50.343750,27.203148,15762800
2000-02-10,50.500000,50.843750,49.562500,50.250000,27.152493,13225600
2000-02-11,49.343750,49.765625,48.375000,49.250000,26.612146,11219200
2000-02-14,48.625000,49.250000,47.843750,48.593750,26.257542,11966800
2000-02-15,47.625000,48.312500,47.031250,47.750000,25.801622,14093600
2000-02-16,46.796875,48.250000,46.750000,47.187500,25.497677,16730000
2000-02-17,47.859375,48.750000,47.218750,48.437500,26.173113,13523200
2000-02-18,49.031250,49.125000,47.375000,47.484375,25.658087,10458400
2000-02-22,49.312500,49.625000,47.718750,48.000000,25.936707,14034800
2000-02-23,50.109375,51.500000,49.187500,51.500000,27.827929,12804800
2000-02-24,50.718750,51.109375,49.906250,50.750000,27.422670,11016800
2000-02-25,50.437500,51.656250,50.093750,51.218750,27.675957,10827600
2000-02-28,50.078125,51.250000,49.375000,50.812500,27.456440,12043600
2000-02-29,50.312500,50.312500,49.187500,49.625000,26.814775,13938400
2000-03-01,49.875000,50.375000,49.625000,50.375000,27.220041,10253200
2000-03-02,50.125000,53.968750,50.093750,53.000000,28.638453,18084000
2000-03-03,54.000000,55.343750,53.812500,55.250000,29.854233,11078800
2000-03-06,56.125000,56.765625,55.875000,56.625000,30.597208,9673600
2000-03-07,55.875000,56.093750,54.000000,54.312500,29.347656,9668000
2000-03-08,53.812500,53.875000,51.250000,52.843750,28.554022,12309200
2000-03-09,52.625000,53.671875,51.875000,53.625000,28.976166,11041600
2000-03-10,54.437500,55.109375,53.531250,53.750000,29.043715,10617200
2000-03-13,51.250000,54.281250,51.250000,53.750000,29.043715,14619200
2000-03-14,54.000000,54.468750,51.375000,51.625000,27.895473,12011600
2000-03-15,50.500000,50.875000,48.000000,49.000000,26.477060,26281600
2000-03-16,49.250000,51.250000,45.500000,50.500000,27.287579,26679600
2000-03-17,49.250000,50.500000,48.875000,49.968750,27.000519,12868000
2000-03-20,50.000000,52.093750,49.796875,50.500000,27.287579,14041200
2000-03-21,49.843750,53.296875,49.250000,52.875000,28.570906,14905600
2000-03-22,52.421875,55.093750,51.656250,54.750000,29.584061,15502800
2000-03-23,54.593750,55.187500,53.687500,54.906250,29.772758,13121200
2000-03-24,54.750000,56.984375,54.625000,55.875000,30.298063,16860400
2000-03-27,56.343750,58.343750,56.343750,57.500000,31.179214,13759600
2000-03-28,57.484375,57.750000,56.156250,56.468750,30.620018,12016800
2000-03-29,56.828125,57.250000,54.500000,54.500000,29.552475,15245600
2000-03-30,51.500000,53.812500,50.500000,52.250000,28.332415,23102800
